index,question,answer
0,"Edward has 3 less cookies than Bob has. Bob has 16 more cookies than Yasmine, and Hannah has 26 more cookies than Bob. If Edward has 34 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",155
1,"Oscar has 9 less cookies than Kevin has. Kevin has 19 more cookies than Ian, and Xander has 24 more cookies than Kevin. If Oscar has 48 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",224
2,"Victor has 13 less cookies than Hannah has. Hannah has 18 more cookies than Sam, and Diana has 20 more cookies than Hannah. If Victor has 33 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",173
3,"Wendy has 8 less cookies than George has. George has 16 more cookies than Laura, and Oscar has 26 more cookies than George. If Wendy has 28 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",146
4,"Zach has 6 less cookies than Hannah has. Hannah has 9 more cookies than Yasmine, and Oscar has 17 more cookies than Hannah. If Zach has 53 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",238
5,"Bob has 13 less cookies than Sam has. Sam has 12 more cookies than Fiona, and Ian has 18 more cookies than Sam. If Bob has 53 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",257
6,"Wendy has 3 less cookies than Paula has. Paula has 13 more cookies than Zach, and Oscar has 26 more cookies than Paula. If Wendy has 54 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",238
7,"Laura has 5 less cookies than George has. George has 14 more cookies than Edward, and Nina has 24 more cookies than George. If Laura has 43 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",197
8,"Charlie has 14 less cookies than Fiona has. Fiona has 11 more cookies than Sam, and Wendy has 18 more cookies than Fiona. If Charlie has 22 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",137
9,"Diana has 5 less cookies than Edward has. Edward has 12 more cookies than Yasmine, and Victor has 15 more cookies than Edward. If Diana has 54 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",234
10,"Charlie has 12 less cookies than Wendy has. Wendy has 13 more cookies than Oscar, and Uma has 15 more cookies than Wendy. If Charlie has 39 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",194
11,"Bob has 8 less cookies than Julia has. Julia has 12 more cookies than Yasmine, and Diana has 26 more cookies than Julia. If Bob has 26 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",142
12,"George has 6 less cookies than Julia has. Julia has 18 more cookies than Hannah, and Alice has 25 more cookies than Julia. If George has 60 cookies, how many cookies do they have in total? Please reason step by step, and put your final answer within \boxed{answer} as an integer.",265
